hypothesis,cell,stem,K,U_circ_K,A_K,bucket,n
h1,deepseek-v4-flash | livecodebench,deepseek-v4-flash_livecodebench_seed0,1,0.466667,0.533333,__all__,
h1,gpt-5.2-chat | livecodebench,gpt-5.2-chat_livecodebench_seed0,8,0.466667,0.533333,__all__,
h1,gpt-5.2-chat | livecodebench,gpt-5.2-chat_livecodebench_seed0,16,0.48,0.52,__all__,
h1,gpt-5.2-chat | livecodebench,gpt-5.2-chat_livecodebench_seed0,32,0.493333,0.506667,__all__,
h1,gpt-5.2-chat | livecodebench,gpt-5.2-chat_livecodebench_seed0,64,0.506667,0.493333,__all__,
h1,gpt-5.2-chat | matharena,gpt-5.2-chat_matharena_seed0,1,0.55,0.45,__all__,
h1,gpt-5.2-chat | matharena,gpt-5.2-chat_matharena_seed0,2,0.6,0.4,__all__,
h1,gpt-5.2-chat | matharena,gpt-5.2-chat_matharena_seed0,4,0.65,0.35,__all__,
h1,gpt-5.2-chat | matharena,gpt-5.2-chat_matharena_seed0,8,0.716667,0.283333,__all__,
h1,gpt-5.2-chat | matharena,gpt-5.2-chat_matharena_seed0,16,0.766667,0.233333,__all__,
h1,gpt-5.2-chat | matharena,gpt-5.2-chat_matharena_seed0,32,0.833333,0.166667,__all__,
h1,gpt-5.2-chat | matharena,gpt-5.2-chat_matharena_seed0,64,0.85,0.15,__all__,
h1,llama3.1-8b-instruct | alpaca_eval,llama3.1-8b-instruct_alpaca_eval_seed0,1,0.68,0.32,__all__,
h1,llama3.1-8b-instruct | alpaca_eval,llama3.1-8b-instruct_alpaca_eval_seed0,2,0.866667,0.133333,__all__,
h1,llama3.1-8b-instruct | alpaca_eval,llama3.1-8b-instruct_alpaca_eval_seed0,4,0.963333,0.036667,__all__,
h1,llama3.1-8b-instruct | alpaca_eval,llama3.1-8b-instruct_alpaca_eval_seed0,8,1.0,0.0,__all__,
h1,llama3.1-8b-instruct | alpaca_eval,llama3.1-8b-instruct_alpaca_eval_seed0,16,1.0,0.0,__all__,
h1,llama3.1-8b-instruct | alpaca_eval,llama3.1-8b-instruct_alpaca_eval_seed0,32,1.0,0.0,__all__,
h1,llama3.1-8b-instruct | gsm8k,llama3.1-8b-instruct_gsm8k_seed0,1,0.780895,0.219105,__all__,
h1,llama3.1-8b-instruct | gsm8k,llama3.1-8b-instruct_gsm8k_seed0,2,0.878696,0.121304,__all__,
h1,llama3.1-8b-instruct | gsm8k,llama3.1-8b-instruct_gsm8k_seed0,4,0.929492,0.070508,__all__,
h1,llama3.1-8b-instruct | gsm8k,llama3.1-8b-instruct_gsm8k_seed0,8,0.958302,0.041698,__all__,
h1,llama3.1-8b-instruct | gsm8k,llama3.1-8b-instruct_gsm8k_seed0,16,0.971948,0.028052,__all__,
h1,llama3.1-8b-instruct | gsm8k,llama3.1-8b-instruct_gsm8k_seed0,32,0.982563,0.017437,__all__,
h1,llama3.1-8b-instruct | gsm8k,llama3.1-8b-instruct_gsm8k_seed0,64,0.990144,0.009856,__all__,
h1,llama3.1-8b-instruct | humaneval,llama3.1-8b-instruct_humaneval_seed0,1,0.47561,0.52439,__all__,
h1,llama3.1-8b-instruct | humaneval,llama3.1-8b-instruct_humaneval_seed0,2,0.560976,0.439024,__all__,
h1,llama3.1-8b-instruct | humaneval,llama3.1-8b-instruct_humaneval_seed0,4,0.689024,0.310976,__all__,
h1,llama3.1-8b-instruct | humaneval,llama3.1-8b-instruct_humaneval_seed0,8,0.72561,0.27439,__all__,
h1,llama3.1-8b-instruct | humaneval,llama3.1-8b-instruct_humaneval_seed0,16,0.780488,0.219512,__all__,
h1,llama3.1-8b-instruct | humaneval,llama3.1-8b-instruct_humaneval_seed0,32,0.817073,0.182927,__all__,
h1,llama3.1-8b-instruct | humaneval,llama3.1-8b-instruct_humaneval_seed0,64,0.847561,0.152439,__all__,
h1,llama3.1-8b-instruct | livecodebench,llama3.1-8b-instruct_livecodebench_seed0,1,0.08,0.92,__all__,
h1,llama3.1-8b-instruct | livecodebench,llama3.1-8b-instruct_livecodebench_seed0,2,0.12,0.88,__all__,
h1,llama3.1-8b-instruct | livecodebench,llama3.1-8b-instruct_livecodebench_seed0,4,0.146667,0.853333,__all__,
h1,llama3.1-8b-instruct | livecodebench,llama3.1-8b-instruct_livecodebench_seed0,8,0.173333,0.826667,__all__,
h1,llama3.1-8b-instruct | livecodebench,llama3.1-8b-instruct_livecodebench_seed0,16,0.173333,0.826667,__all__,
h1,llama3.1-8b-instruct | livecodebench,llama3.1-8b-instruct_livecodebench_seed0,32,0.186667,0.813333,__all__,
h1,llama3.1-8b-instruct | livecodebench,llama3.1-8b-instruct_livecodebench_seed0,64,0.2,0.8,__all__,
h1,llama3.1-8b-instruct | math,llama3.1-8b-instruct_math_seed0,1,0.458,0.542,__all__,
h1,llama3.1-8b-instruct | math,llama3.1-8b-instruct_math_seed0,2,0.631,0.369,__all__,
h1,llama3.1-8b-instruct | math,llama3.1-8b-instruct_math_seed0,4,0.761,0.239,__all__,
h1,llama3.1-8b-instruct | math,llama3.1-8b-instruct_math_seed0,8,0.844,0.156,__all__,
h1,llama3.1-8b-instruct | math,llama3.1-8b-instruct_math_seed0,16,0.897,0.103,__all__,
h1,llama3.1-8b-instruct | math,llama3.1-8b-instruct_math_seed0,32,0.929,0.071,__all__,
h1,llama3.1-8b-instruct | math,llama3.1-8b-instruct_math_seed0,64,0.949,0.051,__all__,
h1,llama3.1-8b-instruct | matharena,llama3.1-8b-instruct_matharena_seed0,1,0.0,1.0,__all__,
h1,llama3.1-8b-instruct | matharena,llama3.1-8b-instruct_matharena_seed0,2,0.0,1.0,__all__,
h1,llama3.1-8b-instruct | matharena,llama3.1-8b-instruct_matharena_seed0,4,0.0,1.0,__all__,
h1,llama3.1-8b-instruct | matharena,llama3.1-8b-instruct_matharena_seed0,8,0.016667,0.983333,__all__,
h1,llama3.1-8b-instruct | matharena,llama3.1-8b-instruct_matharena_seed0,16,0.033333,0.966667,__all__,
h1,llama3.1-8b-instruct | matharena,llama3.1-8b-instruct_matharena_seed0,32,0.066667,0.933333,__all__,
h1,llama3.1-8b-instruct | matharena,llama3.1-8b-instruct_matharena_seed0,64,0.116667,0.883333,__all__,
h1,llama3.1-8b-instruct | ultrafeedback,llama3.1-8b-instruct_ultrafeedback_seed0,1,0.5485,0.4515,__all__,
h1,llama3.1-8b-instruct | ultrafeedback,llama3.1-8b-instruct_ultrafeedback_seed0,2,0.7525,0.2475,__all__,
h1,llama3.1-8b-instruct | ultrafeedback,llama3.1-8b-instruct_ultrafeedback_seed0,4,0.917,0.083,__all__,
h1,llama3.1-8b-instruct | ultrafeedback,llama3.1-8b-instruct_ultrafeedback_seed0,8,0.976,0.024,__all__,
h1,llama3.1-8b-instruct | ultrafeedback,llama3.1-8b-instruct_ultrafeedback_seed0,16,0.991,0.009,__all__,
h1,llama3.1-8b-instruct | ultrafeedback,llama3.1-8b-instruct_ultrafeedback_seed0,32,0.9955,0.0045,__all__,
h1,qwen2.5-72b-instruct | gsm8k,qwen2.5-72b-instruct_gsm8k_seed0,1,0.956027,0.043973,__all__,
h1,qwen2.5-72b-instruct | gsm8k,qwen2.5-72b-instruct_gsm8k_seed0,2,0.969674,0.030326,__all__,
h1,qwen2.5-72b-instruct | gsm8k,qwen2.5-72b-instruct_gsm8k_seed0,4,0.973465,0.026535,__all__,
h1,qwen2.5-72b-instruct | gsm8k,qwen2.5-72b-instruct_gsm8k_seed0,8,0.978014,0.021986,__all__,
h1,qwen2.5-72b-instruct | gsm8k,qwen2.5-72b-instruct_gsm8k_seed0,16,0.981804,0.018196,__all__,
h1,qwen2.5-72b-instruct | gsm8k,qwen2.5-72b-instruct_gsm8k_seed0,32,0.984079,0.015921,__all__,
h1,qwen2.5-72b-instruct | gsm8k,qwen2.5-72b-instruct_gsm8k_seed0,64,0.985595,0.014405,__all__,
h1,qwen2.5-72b-instruct | livecodebench,qwen2.5-72b-instruct_livecodebench_seed0,1,0.226667,0.773333,__all__,
h1,qwen2.5-72b-instruct | livecodebench,qwen2.5-72b-instruct_livecodebench_seed0,2,0.226667,0.773333,__all__,
h1,qwen2.5-72b-instruct | livecodebench,qwen2.5-72b-instruct_livecodebench_seed0,4,0.24,0.76,__all__,
h1,qwen2.5-72b-instruct | livecodebench,qwen2.5-72b-instruct_livecodebench_seed0,8,0.28,0.72,__all__,
h1,qwen2.5-72b-instruct | livecodebench,qwen2.5-72b-instruct_livecodebench_seed0,16,0.293333,0.706667,__all__,
h1,qwen2.5-72b-instruct | livecodebench,qwen2.5-72b-instruct_livecodebench_seed0,32,0.306667,0.693333,__all__,
h1,qwen2.5-72b-instruct | livecodebench,qwen2.5-72b-instruct_livecodebench_seed0,64,0.32,0.68,__all__,
h1,qwen2.5-72b-instruct | math,qwen2.5-72b-instruct_math_seed0,1,0.0,1.0,__all__,
h1,qwen2.5-72b-instruct | math,qwen2.5-72b-instruct_math_seed0,2,0.0,1.0,__all__,
h1,qwen2.5-72b-instruct | math,qwen2.5-72b-instruct_math_seed0,4,0.0,1.0,__all__,
h1,qwen2.5-72b-instruct | math,qwen2.5-72b-instruct_math_seed0,8,0.0,1.0,__all__,
h1,qwen2.5-72b-instruct | math,qwen2.5-72b-instruct_math_seed0,16,0.0,1.0,__all__,
h1,qwen2.5-72b-instruct | math,qwen2.5-72b-instruct_math_seed0,32,0.0,1.0,__all__,
h1,qwen2.5-72b-instruct | math,qwen2.5-72b-instruct_math_seed0,64,0.0,1.0,__all__,
h1,qwen2.5-72b-instruct | matharena,qwen2.5-72b-instruct_matharena_seed0,1,0.183333,0.816667,__all__,
h1,qwen2.5-72b-instruct | matharena,qwen2.5-72b-instruct_matharena_seed0,2,0.25,0.75,__all__,
h1,qwen2.5-72b-instruct | matharena,qwen2.5-72b-instruct_matharena_seed0,4,0.316667,0.683333,__all__,
h1,qwen2.5-72b-instruct | matharena,qwen2.5-72b-instruct_matharena_seed0,8,0.35,0.65,__all__,
h1,qwen2.5-72b-instruct | matharena,qwen2.5-72b-instruct_matharena_seed0,16,0.383333,0.616667,__all__,
h1,qwen2.5-72b-instruct | matharena,qwen2.5-72b-instruct_matharena_seed0,32,0.416667,0.583333,__all__,
h1,qwen2.5-72b-instruct | matharena,qwen2.5-72b-instruct_matharena_seed0,64,0.5,0.5,__all__,
h1,qwen2.5-7b-instruct | alpaca_eval,qwen2.5-7b-instruct_alpaca_eval_seed0,1,0.658333,0.341667,__all__,
h1,qwen2.5-7b-instruct | alpaca_eval,qwen2.5-7b-instruct_alpaca_eval_seed0,2,0.845,0.155,__all__,
h1,qwen2.5-7b-instruct | alpaca_eval,qwen2.5-7b-instruct_alpaca_eval_seed0,4,0.945,0.055,__all__,
h1,qwen2.5-7b-instruct | alpaca_eval,qwen2.5-7b-instruct_alpaca_eval_seed0,8,0.995,0.005,__all__,
h1,qwen2.5-7b-instruct | alpaca_eval,qwen2.5-7b-instruct_alpaca_eval_seed0,16,0.998333,0.001667,__all__,
h1,qwen2.5-7b-instruct | alpaca_eval,qwen2.5-7b-instruct_alpaca_eval_seed0,32,0.998333,0.001667,__all__,
h1,qwen2.5-7b-instruct | gsm8k,qwen2.5-7b-instruct_gsm8k_seed0,1,0.906748,0.093252,__all__,
h1,qwen2.5-7b-instruct | gsm8k,qwen2.5-7b-instruct_gsm8k_seed0,2,0.943897,0.056103,__all__,
h1,qwen2.5-7b-instruct | gsm8k,qwen2.5-7b-instruct_gsm8k_seed0,4,0.960576,0.039424,__all__,
h1,qwen2.5-7b-instruct | gsm8k,qwen2.5-7b-instruct_gsm8k_seed0,8,0.974223,0.025777,__all__,
h1,qwen2.5-7b-instruct | gsm8k,qwen2.5-7b-instruct_gsm8k_seed0,16,0.978014,0.021986,__all__,
h1,qwen2.5-7b-instruct | gsm8k,qwen2.5-7b-instruct_gsm8k_seed0,32,0.984837,0.015163,__all__,
h1,qwen2.5-7b-instruct | gsm8k,qwen2.5-7b-instruct_gsm8k_seed0,64,0.990144,0.009856,__all__,
h1,qwen2.5-7b-instruct | humaneval,qwen2.5-7b-instruct_humaneval_seed0,1,0.762195,0.237805,__all__,
h1,qwen2.5-7b-instruct | humaneval,qwen2.5-7b-instruct_humaneval_seed0,2,0.804878,0.195122,__all__,
h1,qwen2.5-7b-instruct | humaneval,qwen2.5-7b-instruct_humaneval_seed0,4,0.865854,0.134146,__all__,
h1,qwen2.5-7b-instruct | humaneval,qwen2.5-7b-instruct_humaneval_seed0,8,0.896341,0.103659,__all__,
h1,qwen2.5-7b-instruct | humaneval,qwen2.5-7b-instruct_humaneval_seed0,16,0.914634,0.085366,__all__,
h1,qwen2.5-7b-instruct | humaneval,qwen2.5-7b-instruct_humaneval_seed0,32,0.926829,0.073171,__all__,
h1,qwen2.5-7b-instruct | humaneval,qwen2.5-7b-instruct_humaneval_seed0,64,0.932927,0.067073,__all__,
h1,qwen2.5-7b-instruct | livecodebench,qwen2.5-7b-instruct_livecodebench_seed0,1,0.12,0.88,__all__,
h1,qwen2.5-7b-instruct | livecodebench,qwen2.5-7b-instruct_livecodebench_seed0,2,0.133333,0.866667,__all__,
h1,qwen2.5-7b-instruct | livecodebench,qwen2.5-7b-instruct_livecodebench_seed0,4,0.133333,0.866667,__all__,
h1,qwen2.5-7b-instruct | livecodebench,qwen2.5-7b-instruct_livecodebench_seed0,8,0.186667,0.813333,__all__,
h1,qwen2.5-7b-instruct | livecodebench,qwen2.5-7b-instruct_livecodebench_seed0,16,0.186667,0.813333,__all__,
h1,qwen2.5-7b-instruct | livecodebench,qwen2.5-7b-instruct_livecodebench_seed0,32,0.213333,0.786667,__all__,
h1,qwen2.5-7b-instruct | livecodebench,qwen2.5-7b-instruct_livecodebench_seed0,64,0.24,0.76,__all__,
h1,qwen2.5-7b-instruct | math,qwen2.5-7b-instruct_math_seed0,1,0.904,0.096,__all__,
h1,qwen2.5-7b-instruct | math,qwen2.5-7b-instruct_math_seed0,2,0.953,0.047,__all__,
h1,qwen2.5-7b-instruct | math,qwen2.5-7b-instruct_math_seed0,4,0.974,0.026,__all__,
h1,qwen2.5-7b-instruct | math,qwen2.5-7b-instruct_math_seed0,8,0.982,0.018,__all__,
h1,qwen2.5-7b-instruct | math,qwen2.5-7b-instruct_math_seed0,16,0.985,0.015,__all__,
h1,qwen2.5-7b-instruct | math,qwen2.5-7b-instruct_math_seed0,32,0.991,0.009,__all__,
h1,qwen2.5-7b-instruct | math,qwen2.5-7b-instruct_math_seed0,64,0.993,0.007,__all__,
h1,qwen2.5-7b-instruct | matharena,qwen2.5-7b-instruct_matharena_seed0,1,0.1,0.9,__all__,
h1,qwen2.5-7b-instruct | matharena,qwen2.5-7b-instruct_matharena_seed0,2,0.15,0.85,__all__,
h1,qwen2.5-7b-instruct | matharena,qwen2.5-7b-instruct_matharena_seed0,4,0.2,0.8,__all__,
h1,qwen2.5-7b-instruct | matharena,qwen2.5-7b-instruct_matharena_seed0,8,0.233333,0.766667,__all__,
h1,qwen2.5-7b-instruct | matharena,qwen2.5-7b-instruct_matharena_seed0,16,0.25,0.75,__all__,
h1,qwen2.5-7b-instruct | matharena,qwen2.5-7b-instruct_matharena_seed0,32,0.316667,0.683333,__all__,
h1,qwen2.5-7b-instruct | matharena,qwen2.5-7b-instruct_matharena_seed0,64,0.383333,0.616667,__all__,
h1,qwen2.5-7b-instruct | ultrafeedback,qwen2.5-7b-instruct_ultrafeedback_seed0,1,0.525,0.475,__all__,
h1,qwen2.5-7b-instruct | ultrafeedback,qwen2.5-7b-instruct_ultrafeedback_seed0,2,0.7535,0.2465,__all__,
h1,qwen2.5-7b-instruct | ultrafeedback,qwen2.5-7b-instruct_ultrafeedback_seed0,4,0.9115,0.0885,__all__,
h1,qwen2.5-7b-instruct | ultrafeedback,qwen2.5-7b-instruct_ultrafeedback_seed0,8,0.978,0.022,__all__,
h1,qwen2.5-7b-instruct | ultrafeedback,qwen2.5-7b-instruct_ultrafeedback_seed0,16,0.9895,0.0105,__all__,
h1,qwen2.5-7b-instruct | ultrafeedback,qwen2.5-7b-instruct_ultrafeedback_seed0,32,0.9945,0.0055,__all__,
h1,tulu3-8b-rlvr | alpaca_eval,tulu3-8b-rlvr_alpaca_eval_seed0,1,0.768333,0.231667,__all__,
h1,tulu3-8b-rlvr | alpaca_eval,tulu3-8b-rlvr_alpaca_eval_seed0,2,0.915,0.085,__all__,
h1,tulu3-8b-rlvr | alpaca_eval,tulu3-8b-rlvr_alpaca_eval_seed0,4,0.966667,0.033333,__all__,
h1,tulu3-8b-rlvr | alpaca_eval,tulu3-8b-rlvr_alpaca_eval_seed0,8,0.996667,0.003333,__all__,
h1,tulu3-8b-rlvr | alpaca_eval,tulu3-8b-rlvr_alpaca_eval_seed0,16,0.998333,0.001667,__all__,
h1,tulu3-8b-rlvr | alpaca_eval,tulu3-8b-rlvr_alpaca_eval_seed0,32,1.0,0.0,__all__,
h1,tulu3-8b-rlvr | gsm8k,tulu3-8b-rlvr_gsm8k_seed0,1,0.858226,0.141774,__all__,
h1,tulu3-8b-rlvr | gsm8k,tulu3-8b-rlvr_gsm8k_seed0,2,0.915845,0.084155,__all__,
h1,tulu3-8b-rlvr | gsm8k,tulu3-8b-rlvr_gsm8k_seed0,4,0.946171,0.053829,__all__,
h1,tulu3-8b-rlvr | gsm8k,tulu3-8b-rlvr_gsm8k_seed0,8,0.95906,0.04094,__all__,
h1,tulu3-8b-rlvr | gsm8k,tulu3-8b-rlvr_gsm8k_seed0,16,0.972707,0.027293,__all__,
h1,tulu3-8b-rlvr | gsm8k,tulu3-8b-rlvr_gsm8k_seed0,32,0.97953,0.02047,__all__,
h1,tulu3-8b-rlvr | gsm8k,tulu3-8b-rlvr_gsm8k_seed0,64,0.984079,0.015921,__all__,
h1,tulu3-8b-rlvr | humaneval,tulu3-8b-rlvr_humaneval_seed0,1,0.463415,0.536585,__all__,
h1,tulu3-8b-rlvr | humaneval,tulu3-8b-rlvr_humaneval_seed0,2,0.573171,0.426829,__all__,
h1,tulu3-8b-rlvr | humaneval,tulu3-8b-rlvr_humaneval_seed0,4,0.646341,0.353659,__all__,
h1,tulu3-8b-rlvr | humaneval,tulu3-8b-rlvr_humaneval_seed0,8,0.664634,0.335366,__all__,
h1,tulu3-8b-rlvr | humaneval,tulu3-8b-rlvr_humaneval_seed0,16,0.768293,0.231707,__all__,
h1,tulu3-8b-rlvr | humaneval,tulu3-8b-rlvr_humaneval_seed0,32,0.823171,0.176829,__all__,
h1,tulu3-8b-rlvr | humaneval,tulu3-8b-rlvr_humaneval_seed0,64,0.847561,0.152439,__all__,
h1,tulu3-8b-rlvr | livecodebench,tulu3-8b-rlvr_livecodebench_seed0,1,0.12,0.88,__all__,
h1,tulu3-8b-rlvr | livecodebench,tulu3-8b-rlvr_livecodebench_seed0,2,0.133333,0.866667,__all__,
h1,tulu3-8b-rlvr | livecodebench,tulu3-8b-rlvr_livecodebench_seed0,4,0.146667,0.853333,__all__,
h1,tulu3-8b-rlvr | livecodebench,tulu3-8b-rlvr_livecodebench_seed0,8,0.16,0.84,__all__,
h1,tulu3-8b-rlvr | livecodebench,tulu3-8b-rlvr_livecodebench_seed0,16,0.186667,0.813333,__all__,
h1,tulu3-8b-rlvr | livecodebench,tulu3-8b-rlvr_livecodebench_seed0,32,0.2,0.8,__all__,
h1,tulu3-8b-rlvr | livecodebench,tulu3-8b-rlvr_livecodebench_seed0,64,0.2,0.8,__all__,
h1,tulu3-8b-rlvr | math,tulu3-8b-rlvr_math_seed0,1,0.682,0.318,__all__,
h1,tulu3-8b-rlvr | math,tulu3-8b-rlvr_math_seed0,2,0.786,0.214,__all__,
h1,tulu3-8b-rlvr | math,tulu3-8b-rlvr_math_seed0,4,0.846,0.154,__all__,
h1,tulu3-8b-rlvr | math,tulu3-8b-rlvr_math_seed0,8,0.896,0.104,__all__,
h1,tulu3-8b-rlvr | math,tulu3-8b-rlvr_math_seed0,16,0.928,0.072,__all__,
h1,tulu3-8b-rlvr | math,tulu3-8b-rlvr_math_seed0,32,0.948,0.052,__all__,
h1,tulu3-8b-rlvr | math,tulu3-8b-rlvr_math_seed0,64,0.967,0.033,__all__,
h1,tulu3-8b-rlvr | matharena,tulu3-8b-rlvr_matharena_seed0,1,0.0,1.0,__all__,
h1,tulu3-8b-rlvr | matharena,tulu3-8b-rlvr_matharena_seed0,2,0.0,1.0,__all__,
h1,tulu3-8b-rlvr | matharena,tulu3-8b-rlvr_matharena_seed0,4,0.016667,0.983333,__all__,
h1,tulu3-8b-rlvr | matharena,tulu3-8b-rlvr_matharena_seed0,8,0.05,0.95,__all__,
h1,tulu3-8b-rlvr | matharena,tulu3-8b-rlvr_matharena_seed0,16,0.066667,0.933333,__all__,
h1,tulu3-8b-rlvr | matharena,tulu3-8b-rlvr_matharena_seed0,32,0.116667,0.883333,__all__,
h1,tulu3-8b-rlvr | matharena,tulu3-8b-rlvr_matharena_seed0,64,0.133333,0.866667,__all__,
h1,tulu3-8b-rlvr | ultrafeedback,tulu3-8b-rlvr_ultrafeedback_seed0,1,0.5295,0.4705,__all__,
h1,tulu3-8b-rlvr | ultrafeedback,tulu3-8b-rlvr_ultrafeedback_seed0,2,0.715,0.285,__all__,
h1,tulu3-8b-rlvr | ultrafeedback,tulu3-8b-rlvr_ultrafeedback_seed0,4,0.865,0.135,__all__,
h1,tulu3-8b-rlvr | ultrafeedback,tulu3-8b-rlvr_ultrafeedback_seed0,8,0.9375,0.0625,__all__,
h1,tulu3-8b-rlvr | ultrafeedback,tulu3-8b-rlvr_ultrafeedback_seed0,16,0.9625,0.0375,__all__,
h1,tulu3-8b-rlvr | ultrafeedback,tulu3-8b-rlvr_ultrafeedback_seed0,32,0.9725,0.0275,__all__,
h5,deepseek-v4-flash | livecodebench,deepseek-v4-flash_livecodebench_seed0,1,0.466667,0.533333,__all__,
h5,deepseek-v4-flash | livecodebench,deepseek-v4-flash_livecodebench_seed0,2,0.506667,0.493333,__all__,
h5,deepseek-v4-flash | livecodebench,deepseek-v4-flash_livecodebench_seed0,4,0.506667,0.493333,__all__,
h5,deepseek-v4-flash | livecodebench,deepseek-v4-flash_livecodebench_seed0,8,0.52,0.48,__all__,
h5,deepseek-v4-flash | livecodebench,deepseek-v4-flash_livecodebench_seed0,16,0.52,0.48,__all__,
h5,deepseek-v4-flash | livecodebench,deepseek-v4-flash_livecodebench_seed0,32,0.52,0.48,__all__,
h5,deepseek-v4-flash | livecodebench,deepseek-v4-flash_livecodebench_seed0,64,0.52,0.48,__all__,
h5,deepseek-v4-flash | matharena,deepseek-v4-flash_matharena_seed0,1,0.55,0.45,__all__,
h5,deepseek-v4-flash | matharena,deepseek-v4-flash_matharena_seed0,2,0.616667,0.383333,__all__,
h5,deepseek-v4-flash | matharena,deepseek-v4-flash_matharena_seed0,4,0.733333,0.266667,__all__,
h5,deepseek-v4-flash | matharena,deepseek-v4-flash_matharena_seed0,8,0.75,0.25,__all__,
h5,deepseek-v4-flash | matharena,deepseek-v4-flash_matharena_seed0,16,0.816667,0.183333,__all__,
h5,deepseek-v4-flash | matharena,deepseek-v4-flash_matharena_seed0,32,0.85,0.15,__all__,
h5,deepseek-v4-flash | matharena,deepseek-v4-flash_matharena_seed0,64,0.85,0.15,__all__,
h5,gpt-5.2-chat | livecodebench,gpt-5.2-chat_livecodebench_seed0,1,0.4,0.6,__all__,
h5,gpt-5.2-chat | livecodebench,gpt-5.2-chat_livecodebench_seed0,2,0.426667,0.573333,__all__,
h5,gpt-5.2-chat | livecodebench,gpt-5.2-chat_livecodebench_seed0,4,0.453333,0.546667,__all__,
h5,gpt-5.2-chat | livecodebench,gpt-5.2-chat_livecodebench_seed0,8,0.466667,0.533333,__all__,
h5,gpt-5.2-chat | livecodebench,gpt-5.2-chat_livecodebench_seed0,16,0.48,0.52,__all__,
h5,gpt-5.2-chat | livecodebench,gpt-5.2-chat_livecodebench_seed0,32,0.493333,0.506667,__all__,
h5,gpt-5.2-chat | livecodebench,gpt-5.2-chat_livecodebench_seed0,64,0.506667,0.493333,__all__,
h5,gpt-5.2-chat | matharena,gpt-5.2-chat_matharena_seed0,1,0.55,0.45,__all__,
h5,gpt-5.2-chat | matharena,gpt-5.2-chat_matharena_seed0,2,0.6,0.4,__all__,
h5,gpt-5.2-chat | matharena,gpt-5.2-chat_matharena_seed0,4,0.65,0.35,__all__,
h5,gpt-5.2-chat | matharena,gpt-5.2-chat_matharena_seed0,8,0.716667,0.283333,__all__,
h5,gpt-5.2-chat | matharena,gpt-5.2-chat_matharena_seed0,16,0.766667,0.233333,__all__,
h5,gpt-5.2-chat | matharena,gpt-5.2-chat_matharena_seed0,32,0.833333,0.166667,__all__,
h5,gpt-5.2-chat | matharena,gpt-5.2-chat_matharena_seed0,64,0.85,0.15,__all__,
h5,llama3.1-8b-instruct | alpaca_eval,llama3.1-8b-instruct_alpaca_eval_seed0,1,0.68,0.32,__all__,
h5,llama3.1-8b-instruct | alpaca_eval,llama3.1-8b-instruct_alpaca_eval_seed0,2,0.866667,0.133333,__all__,
h5,llama3.1-8b-instruct | alpaca_eval,llama3.1-8b-instruct_alpaca_eval_seed0,4,0.963333,0.036667,__all__,
h5,llama3.1-8b-instruct | alpaca_eval,llama3.1-8b-instruct_alpaca_eval_seed0,8,1.0,0.0,__all__,
h5,llama3.1-8b-instruct | alpaca_eval,llama3.1-8b-instruct_alpaca_eval_seed0,16,1.0,0.0,__all__,
h5,llama3.1-8b-instruct | alpaca_eval,llama3.1-8b-instruct_alpaca_eval_seed0,32,1.0,0.0,__all__,
h5,llama3.1-8b-instruct | gsm8k,llama3.1-8b-instruct_gsm8k_seed0,1,0.780895,0.219105,__all__,
h5,llama3.1-8b-instruct | gsm8k,llama3.1-8b-instruct_gsm8k_seed0,2,0.878696,0.121304,__all__,
